!DatalogFileV1.0 1552270405
#
# User : atto           Start : 2019/03/11 11:13:25
# Recipe_Name : No_He_SiN_W072
# CURRENT_LOT_ID : PJ2_2019311105558
# PM_WAFER_STATUS_A : 10
# PM_WAFER_STATUS_B : 0
# ACC_WAFERCOUNT : 1
# ACC_THICKNESS : 0.000000
#
#----------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
Time                      Recipe_Step_Number      S1_VAT_Pressure      S1_VAT_Position      S2_VAT_Pressure      S2_VAT_Position          S1_P0_PRESS          S1_P1_PRESS          S2_P0_PRESS          S2_P1_PRESS            S1_O2_Set           S1_O2_FLOW            S1_N2_Set           S1_N2_FLOW      S1_He_Set(TEOS)     S1_He_Flow(TEOS)          S1_TEOS_Set         S1_TEOS_FLOW     S1_N2_Set(Purge)    S1_N2_Flow(Purge)      S1_Ar_Set(Teos)     S1_Ar_Flow(Teos)            S2_O2_Set           S2_O2_FLOW            S2_N2_Set           S2_N2_FLOW      S2_He_Set(TEOS)     S2_He_Flow(TEOS)          S2_TEOS_Set         S2_TEOS_FLOW     S2_N2_Set(Purge)    S2_N2_Flow(Purge)      S2_Ar_Set(Teos)     S2_Ar_Flow(Teos)           S1_SH_TEMP       S1_HeLine_TEMP      S1_O2Line1_TEMP       S1_Block1_TEMP       S1_Block2_TEMP       S1_Block3_TEMP       S1_Block4_TEMP          S1_LQ1_TEMP     S1_O2Filter_TEMP          S1_SH_POWER      S1_HeLine_POWER     S1_O2Line1_POWER      S1_Block1_POWER      S1_Block2_POWER      S1_Block3_POWER      S1_Block4_POWER         S1_LQ1_POWER    S1_O2Filter_POWER           S2_SH_TEMP       S2_HeLine_TEMP      S2_O2Line1_TEMP       S2_Block1_TEMP       S2_Block2_TEMP       S2_Block3_TEMP       S2_Block4_TEMP       S2_Divert_TEMP          S2_LQ1_TEMP     S2_O2Filter_TEMP          S2_SH_POWER      S2_HeLine_POWER     S2_O2Line1_POWER      S2_Block1_POWER      S2_Block2_POWER      S2_Block3_POWER      S2_Block4_POWER      S2_Divert_POWER         S2_LQ1_POWER    S2_O2Filter_POWER      S1_Vapor_TEMP_1      S1_Vapor_TEMP_2      S1_Vapor_TEMP_3      S1_Vapor_TEMP_4        S1_Chuck_TEMP      S1_SH_Cool_TEMP     S1_Vapor_POWER_1     S1_Vapor_POWER_2     S1_Vapor_POWER_3     S1_Vapor_POWER_4       S1_Chuck_POWER     S1_SH_Cool_POWER      S2_Vapor_TEMP_1      S2_Vapor_TEMP_2      S2_Vapor_TEMP_3      S2_Vapor_TEMP_4        S2_Chuck_TEMP      S2_SH_Cool_TEMP     S2_Vapor_POWER_1     S2_Vapor_POWER_2     S2_Vapor_POWER_3     S2_Vapor_POWER_4       S2_Chuck_POWER     S2_SH_Cool_POWER        SH_Heat1_TEMP       SH_Heat1_POWER        SH_Heat2_TEMP       SH_Heat2_POWER
#----------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
2019/03/11 11:13:25.398                    1                0.316                100.0                0.316                100.0              199.570              172.378              205.502              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  159                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  149                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:25.508                    1                0.316                100.0                0.316                100.0              199.581              172.378              205.500              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  159                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  149                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:25.601                    1                0.113                100.0                0.316                100.0              199.587              172.378              205.498              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  159                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  149                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:25.711                    1                0.113                100.0                0.076                100.0              199.600              172.378              205.490              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  159                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  149                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:25.805                    1                0.113                100.0                0.076                100.0              199.606              172.378              205.488              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  159                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  150                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:25.898                    1                0.113                100.0                0.076                100.0              199.622              172.378              205.492              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  159                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  150                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:26.008                    1                0.113                100.0                0.076                100.0              199.642              172.378              205.484              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  158                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  150                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:26.101                    1                0.113                100.0                0.076                100.0              199.649              172.378              205.478              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  158                  160                  156                    0                   30                   93                   43                   39                   99                    4                   37                  100                 1000                  160                  160                  210                  160                  168                  150                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  180                  159                  213                  220                  540                 61.9                    2                   11                    0                    4                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 11:13:26.211                    1                0.031                100.0                0.076                100.0              199.658              172.378              205.480              172.314                    0                    0                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                   -0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  162                  155                  202                  160                  156                  158                  160                  156                    0                   19                   94                   43                   38                   99                    5                   38                  100                 1000                  160                  160                  210                  160                  168                  150                  160                  159                  168                    0                   62                   61                   57                   42                    0                   73                   54                   51                    0                  179                  159                  213                  220                  540                 61.9                    2                   19                    0                    6                  100                    3                  200                  160                  180                 1000                  540                 60.9                   41                   51                   46                    0                  100                    3                  0.0                    0                  0.0                    0
