!DatalogFileV1.0 1552310674
#
# User : atto           Start : 2019/03/11 22:24:34
# Recipe_Name : No_He_SiN_W111
# CURRENT_LOT_ID : 184
# PM_WAFER_STATUS_A : 24
# PM_WAFER_STATUS_B : 0
# ACC_WAFERCOUNT : 1
# ACC_THICKNESS : 0.000000
#
#----------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
Time                      Recipe_Step_Number      S1_VAT_Pressure      S1_VAT_Position      S2_VAT_Pressure      S2_VAT_Position          S1_P0_PRESS          S1_P1_PRESS          S2_P0_PRESS          S2_P1_PRESS            S1_O2_Set           S1_O2_FLOW            S1_N2_Set           S1_N2_FLOW      S1_He_Set(TEOS)     S1_He_Flow(TEOS)          S1_TEOS_Set         S1_TEOS_FLOW     S1_N2_Set(Purge)    S1_N2_Flow(Purge)      S1_Ar_Set(Teos)     S1_Ar_Flow(Teos)            S2_O2_Set           S2_O2_FLOW            S2_N2_Set           S2_N2_FLOW      S2_He_Set(TEOS)     S2_He_Flow(TEOS)          S2_TEOS_Set         S2_TEOS_FLOW     S2_N2_Set(Purge)    S2_N2_Flow(Purge)      S2_Ar_Set(Teos)     S2_Ar_Flow(Teos)           S1_SH_TEMP       S1_HeLine_TEMP      S1_O2Line1_TEMP       S1_Block1_TEMP       S1_Block2_TEMP       S1_Block3_TEMP       S1_Block4_TEMP          S1_LQ1_TEMP     S1_O2Filter_TEMP          S1_SH_POWER      S1_HeLine_POWER     S1_O2Line1_POWER      S1_Block1_POWER      S1_Block2_POWER      S1_Block3_POWER      S1_Block4_POWER         S1_LQ1_POWER    S1_O2Filter_POWER           S2_SH_TEMP       S2_HeLine_TEMP      S2_O2Line1_TEMP       S2_Block1_TEMP       S2_Block2_TEMP       S2_Block3_TEMP       S2_Block4_TEMP       S2_Divert_TEMP          S2_LQ1_TEMP     S2_O2Filter_TEMP          S2_SH_POWER      S2_HeLine_POWER     S2_O2Line1_POWER      S2_Block1_POWER      S2_Block2_POWER      S2_Block3_POWER      S2_Block4_POWER      S2_Divert_POWER         S2_LQ1_POWER    S2_O2Filter_POWER      S1_Vapor_TEMP_1      S1_Vapor_TEMP_2      S1_Vapor_TEMP_3      S1_Vapor_TEMP_4        S1_Chuck_TEMP      S1_SH_Cool_TEMP     S1_Vapor_POWER_1     S1_Vapor_POWER_2     S1_Vapor_POWER_3     S1_Vapor_POWER_4       S1_Chuck_POWER     S1_SH_Cool_POWER      S2_Vapor_TEMP_1      S2_Vapor_TEMP_2      S2_Vapor_TEMP_3      S2_Vapor_TEMP_4        S2_Chuck_TEMP      S2_SH_Cool_TEMP     S2_Vapor_POWER_1     S2_Vapor_POWER_2     S2_Vapor_POWER_3     S2_Vapor_POWER_4       S2_Chuck_POWER     S2_SH_Cool_POWER        SH_Heat1_TEMP       SH_Heat1_POWER        SH_Heat2_TEMP       SH_Heat2_POWER
#----------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
2019/03/11 22:24:34.101                    1                0.318                100.0                0.320                100.0              191.586              172.418              207.665              172.314                    0                    0                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  157                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  164                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.211                    1                0.130                100.0                0.320                100.0              191.600              172.418              207.660              172.314                    0                    0                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  157                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  164                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.305                    1                0.130                100.0                0.320                100.0              191.605              172.418              207.668              172.314                    0                    0                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  157                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  164                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.414                    1                0.130                100.0                0.077                100.0              191.610              172.418              207.664              172.314                    0                    0                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  157                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  164                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.508                    1                0.130                100.0                0.077                100.0              191.605              172.418              207.652              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  164                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.601                    1                0.130                100.0                0.077                100.0              191.607              172.418              207.648              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  164                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.711                    1                0.046                100.0                0.077                100.0              191.615              172.418              207.655              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  163                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.805                    1                0.046                100.0                0.038                100.0              191.627              172.418              207.650              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  163                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:34.914                    1                0.046                100.0                0.038                100.0              191.627              172.418              207.653              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   89                   53                   52                    1                   39                  179                  163                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   47                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:35.008                    1                0.046                100.0                0.038                100.0              191.627              172.418              207.653              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  157                  164                  198                  160                  158                  159                  160                  158                    0                   79                   28                   42                   38                   63                    0                   37                    7                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   92                   56                   52                    1                   40                  179                  163                  210                  221                  541                 62.1                    3                   26                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   50                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:35.101                    1                0.046                100.0                0.038                100.0              191.631              172.418              207.656              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  157                  164                  199                  160                  158                  159                  160                  158                    0                   83                   27                   43                   38                   66                    1                   37                    8                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   92                   56                   52                    1                   40                  179                  163                  210                  221                  541                 62.1                    3                   20                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   50                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:35.211                    1                0.021                100.0                0.038                100.0              191.629              172.418              207.643              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  157                  164                  199                  160                  158                  159                  160                  158                    0                   83                   27                   43                   38                   66                    1                   37                    8                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   92                   56                   52                    1                   40                  179                  163                  210                  221                  541                 62.1                    3                   20                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   50                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:35.305                    1                0.021                100.0                0.038                100.0              191.635              172.418              207.638              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  157                  164                  199                  160                  158                  159                  160                  158                    0                   83                   27                   43                   38                   66                    1                   37                    8                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   92                   56                   52                    1                   40                  179                  163                  210                  221                  541                 62.1                    3                   20                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   50                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:35.414                    1                0.021                100.0                0.019                100.0              191.638              172.418              207.637              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  157                  164                  199                  160                  158                  159                  160                  158                    0                   83                   27                   43                   38                   66                    1                   37                    8                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   92                   56                   52                    1                   40                  179                  163                  210                  221                  541                 62.1                    3                   20                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   50                    0                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 22:24:35.508                    1                0.021                100.0                0.019                100.0              191.640              172.418              207.634              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  157                  164                  199                  160                  158                  159                  160                  158                    0                   83                   27                   43                   38                   66                    1                   37                    8                 1000                  160                  160                  210                  160                  158                  148                  160                  162                  158                    0                   60                   59                   50                   38                   92                   56                   52                    1                   40                  179                  163                  210                  221                  541                 62.1                    3                   20                    0                    0                  100                    3                  200                  160                  185                 1000                  540                 61.2                   35                   50                    0                    0                  100                    3                  0.0                    0                  0.0                    0
